itemid,scheduleid,section,section_schedule_name
8700172,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
8728639,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
8728639,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
8728640,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
8728640,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
8756972,14911,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
8756972,14912,Cafe Dessert,DS23 Cafe Cadence Lunch and Dinner MO
6200667,14911,Lunch GNG,DS23 Cafe Cadence Lunch and Dinner MO
6200672,14911,Lunch GNG,DS23 Cafe Cadence Lunch and Dinner MO
6200669,14911,Lunch GNG,DS23 Cafe Cadence Lunch and Dinner MO
6200671,14911,Lunch GNG,DS23 Cafe Cadence Lunch and Dinner MO
6200673,14911,Lunch GNG,DS23 Cafe Cadence Lunch and Dinner MO
6200668,14911,Lunch GNG,DS23 Cafe Cadence Lunch and Dinner MO
6200617,14911,Fruit and Fruit Cup,DS23 Cafe Cadence Lunch and Dinner MO
6200617,14912,Fruit and Fruit Cup,DS23 Cafe Cadence Lunch and Dinner MO
6200623,14911,Fruit and Fruit Cup,DS23 Cafe Cadence Lunch and Dinner MO
6200623,14912,Fruit and Fruit Cup,DS23 Cafe Cadence Lunch and Dinner MO
8773386,14911,Fruit and Fruit Cup,DS23 Cafe Cadence Lunch and Dinner MO
8773386,14912,Fruit and Fruit Cup,DS23 Cafe Cadence Lunch and Dinner MO
6200618,14911,Fruit and Fruit Cup,DS23 Cafe Cadence Lunch and Dinner MO
6200618,14912,Fruit and Fruit Cup,DS23 Cafe Cadence Lunch and Dinner MO
